name,lng,lat,category,address,poi_type,rating,avg_cost,source,comment_num,popularity,season_winter,season_summer,sort_score,activity_type,amap_uid,coord_source,match_status,drift_m,needs_review,coord_fixed_on
AmoFitness本末健身(富力广场店),126.587155,45.757316,景点,友谊西路600号富力广场5层L501、L504、L505-507号商铺,运动健身;健身中心,4.9,,baidu,50.0,50.0,0.9,0.7,0.924848385510572,0,B0J2CLAAWI,amap,contains,20.6,False,2026-09-04
斯博特游泳健身中心(施柏阁酒店店),126.495135,45.801838,景点,丰源街199号施柏阁酒店五楼,运动健身;体育场馆,4.9,,baidu,50.0,50.0,0.9,0.7,0.924848385510572,0,B0JRUXRU2E,amap,contains,54.5,False,2026-09-04
丹清河国家森林公园,129.309921,46.56433,景点,黑龙江省哈尔滨市依兰县丹清河林场,旅游景点;公园,5.0,,baidu,32.0,32.0,0.9,0.7,0.9245182288617791,0,B01C30ISXE,amap,exact,997.1,True,2026-09-04
精武泓胜泰拳散打搏击(群力店),126.564434,45.736968,景点,景江东路1261-3号(金中环广场C座6楼),运动健身;体育场馆,4.8,,baidu,52.0,52.0,0.9,0.7,0.9225560212611514,0,B0I2KAIYX9,amap,contains,5.7,False,2026-09-04
兴源佳和射箭娱乐俱乐部,126.6701216,45.7661023,景点,先锋路591号院内10栋A1,运动健身;体育场馆,4.8,,baidu,52.0,52.0,0.9,0.7,0.9225560212611514,0,,baidu_wgs2gcj,none,,False,2026-09-04
亚布力锅盔山休闲景区,128.4644494,44.7720082,景点,黑龙江省哈尔滨市尚志市亚布力滑雪旅游度假区,旅游景点;风景区,4.8,,baidu,52.0,52.0,1.0,0.3,0.9225560212611514,0,,baidu_wgs2gcj,contains,,True,2026-09-04
运粮河谷营地公园,126.535949,45.534729,景点,黑龙江省哈尔滨市双城区,旅游景点;公园,5.0,,baidu,30.0,30.0,0.9,0.7,0.9215538436321915,0,B0KUV7WTHC,amap,exact,924.7,True,2026-09-04
颐园街1号欧式建筑,126.642249,45.759593,景点,黑龙江省哈尔滨市南岗区荣市街道颐园街1号,旅游景点,5.0,,baidu,29.0,29.0,0.9,0.7,0.9200599433348163,0,B0HR0HWEEC,amap,exact,0.3,False,2026-09-04
艾尚台球俱乐部,126.589443,45.749796,景点,黑龙江省哈尔滨市道里区河松街17-1号,运动健身;体育场馆,4.8,,baidu,51.0,51.0,0.9,0.7,0.9190905472170838,0,B0KRACDKXZ,amap,exact,0.3,False,2026-09-04
逸弓阁射箭馆(巴黎广场店),126.6511014,45.7222600,景点,和平路11号巴黎广场2楼c区,运动健身;体育场馆,4.8,,baidu,51.0,51.0,0.9,0.7,0.9190905472170838,0,,baidu_wgs2gcj,none,,False,2026-09-04
伏特加酒堡,126.903683,45.671022,景点,哈尔滨市香坊区哈成路16号公里处俄罗斯歌舞表演地点,旅游景点,4.8,,baidu,51.0,51.0,0.9,0.7,0.9190905472170838,0,B0FFJC7W69,amap,exact,8.5,False,2026-09-04
迪赫台球俱乐部旗舰店,126.608094,45.720447,景点,学府路1号2层14号-18号,运动健身;体育场馆,4.8,,baidu,51.0,51.0,0.9,0.7,0.9190905472170838,0,B0FFIC6I3U,amap,contains,0.3,False,2026-09-04
香炉山国家森林公园,127.532294,45.579381,景点,黑龙江省哈尔滨市宾县平坊镇益阳村,旅游景点;风景区,4.7,,baidu,103.0,103.0,0.9,0.7,0.9187276090570633,0,B0FFF37KJO,amap,exact,812.8,True,2026-09-04
圣索菲亚教堂,126.631625,45.768325,景点,黑龙江省哈尔滨市道里区透笼街88号,旅游景点;教堂,4.7,,baidu,102.0,102.0,0.9,0.7,0.9186901444728031,0,B0J3ZUYZU4,amap,contains,397.9,False,2026-09-04
