city,amap_uid,name,lng,lat,type,typecode,address,adname
大庆市,B0L2U5EP53,肇州县六烈士纪念碑,124.997186,45.792827,风景名胜;风景名胜;纪念馆,110204,永乐镇六烈村村口路北,肇州县
大庆市,B0L0XSKQGW,巴彦查干王爷府,124.061887,46.336748,风景名胜;风景名胜;风景名胜,110200,035乡道,杜尔伯特蒙古族自治县
大庆市,B0L0XHM2SK,贝子府遗址,124.358371,46.668377,风景名胜;风景名胜;风景名胜,110200,101乡道,杜尔伯特蒙古族自治县
大庆市,B0L0C104TD,哈尔滨医科大学(大庆校区)-哈医大标志,125.168275,46.594875,风景名胜;风景名胜相关;旅游景点|科教文化服务;科教文化场所;科教文化场所,110000|140000,园丁二路与园丁三路交叉口北360米,龙凤区
大庆市,B0L04AW4DF,银浪生态旅游度假区,124.828464,46.552903,风景名胜;风景名胜;风景名胜,110200,南三路60号,让胡路区
大庆市,B0K22DFVFG,马家大院,124.887901,46.350428,风景名胜;风景名胜相关;旅游景点,110000,杏树岗镇金山堡村前丁家窑屯杏六路南1010米,红岗区
大庆市,B0J2VUKDH6,袁寿山将军墓,124.451177,46.703602,风景名胜;风景名胜;风景名胜,110200,,杜尔伯特蒙古族自治县
大庆市,B0J2CS7XXR,他拉红休闲广场,124.230125,46.757385,风景名胜;公园广场;公园广场,110100,府前路,杜尔伯特蒙古族自治县
大庆市,B0J1O7DC71,荷塘清韵,125.120571,46.669665,风景名胜;风景名胜;风景名胜,110200,北二路大庆廉洁文化公园内(北侧),萨尔图区
大庆市,B0G1OAEP0U,共修院慈善爱心广场,124.88535,46.666704,风景名胜;公园广场;城市广场,110105,西晓街9号,让胡路区
大庆市,B0G0HCI4OI,大庆市红岗区基督教堂,124.88537,46.411477,风景名胜;风景名胜;教堂,110206,红岗北九街与萨大中路交叉口西240米,红岗区
大庆市,B0FFL0H97H,乘风湖生态园-览秀亭,124.886507,46.527188,风景名胜;风景名胜相关;旅游景点,110000,乘风湖生态园(东北角),让胡路区
大庆市,B0FFIPIBHW,天湖,124.396792,46.867106,风景名胜;风景名胜相关;旅游景点,110000,扎龙自然保护区-天湖内(西南角),杜尔伯特蒙古族自治县
