name,lng,lat,category,address,poi_type,rating,avg_cost,source,comment_num
小茉莉零食(哈西店),126.5924271,45.6877694,购物,哈西大街与同济街交角地段第AS1栋1-2层06号,购物;商铺,3.7,,baidu,26.0
通通仓买日用百货,126.6031423,45.7680486,购物,黑龙江哈尔滨市道里区经纬十道街18-4号,购物;商铺,3.5,,baidu,1.0
都市拾光优选民宿酒店,126.6319916,45.8419284,住宿,黑龙江省哈尔滨市松北区松浦大道碧桂园华美星荟9号楼917室,酒店;民宿,4.6,,baidu,0.0
诚信老菜馆(王兆小区店),126.6432209,45.7274571,餐饮,文政街16-1号5栋2单元1层3号,美食;中餐厅,3.8,18.0,baidu,14.0
彦丰大包(珠江俊景店),126.7061325,45.7322467,餐饮,南直路63号珠江俊景,美食;其他,3.7,9.0,baidu,7.0
同来顺涮肉(六顺街店),126.6712889,45.7326948,餐饮,六顺街135号,美食;中餐厅,4.0,99.0,baidu,26.0
山西特色刀削面(香电街店),126.6905445,45.7310706,餐饮,香电街20—2号（电力职业技术学院对面）,美食;小吃快餐店,4.2,22.0,baidu,54.0
双辉副食批发,125.8983067,45.2894703,购物,X149双城市韩甸镇人民政府西南侧约70米,购物;商铺,3.5,,baidu,1.0
佳豪台球俱乐部,126.6638659,45.7583998,景点,烟草街1号宏大新新家园小区1栋-1-2层1-2号门市,运动健身;体育场馆,3.4,,baidu,5.0
四川风味馆(秋林店),126.6419319,45.7585558,餐饮,阿什河街48号,美食;中餐厅,3.7,44.0,baidu,1.0
朝中老四川麻辣烫(尚志店),127.9812745,45.2085736,餐饮,尚志大街交警队家属楼,美食;小吃快餐店,4.4,14.0,baidu,13.0
金旺春饼家常菜(大众嘉园店),126.6302713,45.6980743,餐饮,保健路街道保健路35号(征仪路口),美食;中餐厅,3.7,38.0,baidu,3.0
沙记赛索(和兴店),126.604655,45.7244975,餐饮,西大直街447-6号,美食;蛋糕甜品店,4.1,25.0,baidu,51.0
哈尔滨途掌柜橙途世纪民宿,126.5193517,45.8051831,住宿,黑龙江省哈尔滨市松北区世茂大道地中海阳光,酒店;民宿,4.5,,baidu,54.0
二强小串(太平大街店),126.6835836,45.7884422,餐饮,太平大街217号,美食;中餐厅,3.8,67.0,baidu,12.0
阿海粤小馆(中央大街店),126.6117397,45.769066,餐饮,大安街50号院内8单元103室,美食;中餐厅,4.5,63.0,baidu,56.0
辣嘴丫大碗麻辣烫(宜居家园B区店),126.5155024,45.7146758,餐饮,哈双北路268-1号宜居家园小区201栋9号商服2门,美食;小吃快餐店,3.7,12.0,baidu,7.0
BONELESS(红博中央公园店),126.6916986,45.7548802,购物,红博中央公园B2层大道6-4号,购物;商铺,4.4,,baidu,19.0
大辉制冷设备(滨江凤凰城店),126.6565595,45.7879955,购物,黑龙江省哈尔滨市道外区南二十道街114号1-2层,购物;商铺,5.0,,baidu,1.0
千叶眼镜(群英街店),126.5224286,45.8691188,购物,群英街柏林四季C2-1栋3A3号商服,购物;商铺,3.5,,baidu,1.0
鸿羽超市,126.6244402,45.7511904,购物,下夹树街8-4号,购物;超市,3.5,,baidu,2.0
顾家家居(博览中心店),126.7508507,45.7640859,购物,黑龙江省哈尔滨市道外区禧龙大街157号禧龙国际家居建材博览中心,购物;家居建材,4.5,,baidu,1.0
哈尔滨鼎盛快捷宾馆,126.5949435,45.8840575,住宿,和谐路弘基世纪城30栋3门,酒店,4.0,,baidu,5.0
哈尔滨御景东方小宾馆,126.3329424,45.3815192,住宿,黑龙江省哈尔滨市双城区纵三路御景东方,酒店,4.6,,baidu,1.0
小英公寓(哈尔滨火车站店),126.62966779999999,45.7574141,住宿,建筑街20号1单元402室,酒店,4.3,,baidu,4.0
1919酒类直供(金爵万象店),126.5814925,45.693673,购物,和谐大道367号,购物;商铺,3.5,,baidu,1.0
祥和小洞天麻辣烫(南二道街店),126.5990598,45.982171,餐饮,南二道街266号开发6号楼地下室北1号,美食;小吃快餐店,3.7,21.0,baidu,11.0
斑鱼庄(世祥路店),126.492982,45.8085204,餐饮,世祥路176号,美食;中餐厅,3.7,,baidu,2.0
麻辣速递酸辣苕粉(新平街店),126.6100076,45.6057366,餐饮,碧水湾二期院里,美食;小吃快餐店,3.5,16.0,baidu,1.0
汰白徐咖集什殿咖啡店(观复国际店),126.5632417,45.7291283,餐饮,群力第七大道579号1层,美食;咖啡厅,4.4,88.0,baidu,50.0
luckincoffee瑞幸咖啡(红星美凯龙城乡路店),126.5656755,45.7173144,餐饮,和谐大道与城乡路交口红星美凯龙一层,美食;咖啡厅,4.1,15.0,baidu,13.0
李金波麻辣烫(珠江店),126.7051528,45.7320237,餐饮,黑龙江省哈尔滨市香坊区珠江路424号公滨小区B6栋4号商服,美食;小吃快餐店,3.4,20.0,baidu,5.0
鱼在这酸菜鱼(哈尔滨银泰城购物中心店),126.5326226,45.7353786,餐饮,黑龙江省哈尔滨市道里区群力大道2399号哈尔滨银泰城购物中心,美食;中餐厅,3.5,,baidu,1.0
露缘巴蜀麻辣香锅(大庆副路店),126.6526774,45.7141049,餐饮,大庆副路88-6号,美食;中餐厅,3.8,21.0,baidu,0.0
沸腾牛清真烤肉牛骨锅铁锅炖,126.6110287,45.7729925,餐饮,中医街38-1号沸腾牛清真烤肉牛骨锅铁锅炖锅,美食;中餐厅,4.3,59.0,baidu,22.0
哈尔滨太平建筑陶瓷批发市场,126.6698265,45.7905338,购物,临堤街4号,购物;市场,3.5,,baidu,5.0
张岩野生江杂鱼,126.0946741,45.6161664,购物,哈尔滨市双城区Y003双城区永胜县农村信用合作社东北侧约140米,购物;商铺,5.0,,baidu,2.0
阿扎提新疆炒米粉(顾乡店),126.5792576,45.7351639,餐饮,华兴街9号4栋一层5号,美食;中餐厅,3.5,20.0,baidu,5.0
金源水果店(星光耀广场店),126.5249115,45.7317331,购物,朗江路1162号,购物;商铺,3.5,,baidu,3.0
钳哆肉蟹煲(百盛店),126.6746152,45.7840522,餐饮,东直路107-4号,美食;中餐厅,3.4,22.0,baidu,4.0
草家酱蟹泡菜坊(中央大街店),126.611626,45.7721462,餐饮,红霞街20号,美食;小吃快餐店,4.6,75.0,baidu,3.0
巴彦苏城宾馆,127.3879598,46.0805379,住宿,黑龙江省哈尔滨市巴彦县金泰花园2号楼,酒店,4.5,,baidu,14.0
红云烘培坊(二中店),126.9701053,45.5326877,餐饮,牌路大街217号,美食;蛋糕甜品店,3.7,5.0,baidu,3.0
哈尔滨宜诺空间电竞酒店,126.5854154,45.699123,住宿,黑龙江省哈尔滨市南岗区中兴大道164号金爵万象三期3号楼,酒店,2.8,,baidu,5.0
南京灌汤包(通达街),126.5969346,45.7453996,餐饮,通达街附294号,美食;小吃快餐店,3.5,14.0,baidu,3.0
君沐禧洗浴宾馆(黑龙江科技大学店),126.6427472,45.8208017,住宿,永胜路十八巷与创业大道交叉口旁,酒店,3.5,,baidu,76.0
妙姐顺德干蒸菜(哈尔滨河柏店),126.5773174,45.744613,餐饮,河柏街211号,美食;中餐厅,4.6,51.0,baidu,17.0
来碗板面(万达·秀园店),126.4923901,45.8085214,餐饮,世祥路220号万秀园小区商铺D13B号楼S05号商服,美食;小吃快餐店,3.7,,baidu,1.0
小天才(哈尔滨市客户服务中心店),126.6135996,45.7615603,购物,安顺街50号,购物;家电数码,3.6,,baidu,7.0
宝食林(和兴路店),126.6080536,45.7319277,餐饮,和兴路193号（近西大直街）,美食;中餐厅,4.1,148.0,baidu,63.0
集果鲜生(龙江街店),126.6450932,45.7605145,购物,龙江街31号集果鲜生超市,购物;商铺,3.5,,baidu,7.0
天马乒乓俱乐部(新吉购物中心店),126.6615567,45.7593997,景点,宣化街288号新吉商场2楼2F-A-10号,运动健身;体育场馆,3.5,,baidu,0.0
芳菲仓买(五叙小区店),126.6765347,45.7322174,购物,菜艺街52号,购物;便利店,3.5,,baidu,2.0
老于民宿(东府路分店),126.6182297,45.9911836,住宿,哈尔滨市种子大厦(东府路),酒店;民宿,4.2,,baidu,0.0
乐桃桃烤肉夹馍店(师大家得乐店),126.5575717,45.8642273,餐饮,春秋东路哈尔滨师范大学松北校区家得乐超市西门,美食;中餐厅,3.4,24.0,baidu,1.0
山西刀削面(四方台大道店),126.5154666,45.7146437,餐饮,群力宜居家园二期201栋崂山路257号,美食;小吃快餐店,3.7,12.0,baidu,14.0
拿铁女子轻健身工作室,127.1642984,44.9148662,景点,黑龙江省哈尔滨市五常市宝立小区A3号楼六门商服,运动健身;健身中心,3.7,,baidu,3.0
福家快捷宾馆(友协东三道街店),126.6351294,45.6027864,住宿,黑龙江省哈尔滨市平房区友协东三道街706号副26号,酒店,4.5,,baidu,1.0
泰西酒店,126.5922553,45.9793541,住宿,世亨路寓花园小区12号,酒店,3.6,0.0,baidu,19.0
新天地超市(新中新店),126.6146272,45.667097,购物,电缆街29号,购物;超市,4.1,,baidu,4.0
泡泡玛特POPMART(红博中央公园店),126.6932044,45.7549324,购物,红旗大街339号红博中央公园所属公园大道地下区31-1号,购物;商铺,4.8,,baidu,29.0
寻屿咖啡,126.6178766,45.7455318,餐饮,黑龙江省哈尔滨市南岗区曲线街道曲线街54号,美食;蛋糕甜品店,4.8,30.0,baidu,44.0
纪园包子铺,126.6263283,45.7553272,餐饮,松花江街华驿大厦南侧约30米,美食;其他,3.3,,baidu,2.0
金泰宾馆(龙江路店),127.3885102,46.0803297,住宿,吉庆街金泰花园东厢房2楼,酒店,3.5,,baidu,0.0
福鑫源快捷旅馆,126.6312195,45.6866327,住宿,黑龙江省哈尔滨市南岗区征仪路499号,酒店;其他,5.0,47.0,baidu,2.0
暖幢城宿王府井店公寓(群力第四大道分店),126.5603692,45.737703,住宿,黑龙江省哈尔滨市道里区工农街道群力第四大道恒大国际中心3号楼1单元3层310室,酒店,4.5,,baidu,10.0
原二食堂特色小吃,126.643481,45.7263272,餐饮,文治街与文政街交叉口西南200米,美食;小吃快餐店,3.5,,baidu,4.0
万航电锅炉,127.157663,44.9122139,购物,黑龙江省哈尔滨市五常市(雅臣路)285号,购物;商铺,5.0,,baidu,4.0
双城逸然华都商务宾馆,126.3069113,45.3739781,住宿,民安大街鸿源小区楼下,酒店,4.7,,baidu,46.0
胖哥鸿鑫烧烤(滨港水岸C区店),126.6737301,45.7954369,餐饮,黑龙江省哈尔滨市道外区黎华街道新迎新街140号,美食;中餐厅,3.6,65.0,baidu,11.0
牛味江湖襄阳牛肉面,126.6101758,45.7262135,餐饮,黑龙江省哈尔滨市南岗区和兴三道街138号,美食;小吃快餐店,3.9,24.0,baidu,5.0
兰庭智慧酒店(哈尔滨医大二院黑龙江大学店),126.6077543,45.7019322,住宿,学府路57号,酒店,4.0,,baidu,40.0
缘来顺佛教用品,126.6701656,45.7299906,购物,黑龙江省哈尔滨市香坊区三辅街101号,购物;商铺,5.0,,baidu,1.0
嫦娥烤兔(工农大街店),126.5561721,45.7182307,餐饮,哈尔滨市道里区-工农大街188号,美食;中餐厅,4.0,63.0,baidu,8.0
小盘菜(友谊小区店),126.6459355,45.7653384,餐饮,辽阳街65号,美食;小吃快餐店,3.4,51.0,baidu,1.0
